the_geom,Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Start Time,End Time,Day Of Week,SegmentID,NHoodName,Length In Miles,Shape Length,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End
"MULTILINESTRING ((-73.98958258732713 40.73986497880227, -73.98938896202766 40.74059178892496))",Flatiron 23rd St Partnership,Manhattan,Broadway,E 21st St,E 22nd St,Open Streets: Restaurants,08/14/2020 12:00:00 AM,"12:00PM,12:00PM,12:00PM,12:00PM,12:00PM,12:00PM,11:00AM","11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM",ALL,32982,Flatiron District,0.0511707280314,270.181444006,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,11:00AM,11:00PM
"MULTILINESTRING ((-73.98872905526913 40.74528637371854, -73.98859130742032 40.74603641868459))",Flatiron 23rd St Partnership,Manhattan,Broadway,W 28th St,W 29th St,Open Streets: Restaurants,08/14/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","11:00PM,11:00PM,11:00PM",FSU,33881,Midtown,0.0522572209732,275.918126739,NA,NA,NA,NA,NA,NA,NA,NA,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM
"MULTILINESTRING ((-73.98362158432289 40.74972377168204, -73.98509509310625 40.750343620013176))",Garment District Alliance,Manhattan,West 36th Street,5th Avenue,6th Avenue,Open Streets: Restaurants,08/28/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","11:00PM,11:00PM,9:00PM",FSU,215797,Midtown,0.0883646385149,466.565291359,NA,NA,NA,NA,NA,NA,NA,NA,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,9:00PM
"MULTILINESTRING ((-73.98362158432289 40.74972377168204, -73.98509509310625 40.750343620013176))",Garment District Alliance,Manhattan,West 36th Street,5th Avenue,6th Avenue,Open Streets: Restaurants,08/28/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","11:00PM,11:00PM,9:00PM",FSU,215797,Midtown,0.0883646385149,466.565291359,NA,NA,NA,NA,NA,NA,NA,NA,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,9:00PM
"MULTILINESTRING ((-73.98509509310625 40.750343620013176, -73.98684991150651 40.75108167895335))",Garment District Alliance,Manhattan,West 36th Street,5th Avenue,6th Avenue,Open Streets: Restaurants,08/28/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","11:00PM,11:00PM,9:00PM",FSU,215798,Garment District,0.105229444684,555.611467933,NA,NA,NA,NA,NA,NA,NA,NA,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,9:00PM
"MULTILINESTRING ((-73.90890275929375 40.77486146096448, -73.90818940885265 40.77435754033358))",Nino's AQ,Queens,Ditmars Boulevard,33rd Street,36th Street,Open Streets: Restaurants,08/28/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","9:00PM,9:00PM,9:00PM",FSU,69011,Astoria,0.0510815776977,269.710730244,NA,NA,NA,NA,NA,NA,NA,NA,5:00PM,9:00PM,12:00PM,9:00PM,12:00PM,9:00PM
"MULTILINESTRING ((-73.9096167591695 40.77536622357027, -73.90890275929375 40.77486146096448))",Nino's AQ,Queens,Ditmars Boulevard,33rd Street,36th Street,Open Streets: Restaurants,08/28/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","9:00PM,9:00PM,9:00PM",FSU,69009,Astoria,0.0511458796177,270.050244381,NA,NA,NA,NA,NA,NA,NA,NA,5:00PM,9:00PM,12:00PM,9:00PM,12:00PM,9:00PM
"MULTILINESTRING ((-73.95834207524163 40.71330630054499, -73.95680951669601 40.712756388368916))",GERTIE,Brooklyn,Grand St,Marcy Ave,Roebling St,Open Streets: Restaurants,09/11/2020 12:00:00 AM,"NA,NA,NA,NA,NA,10:00AM,10:00AM","NA,NA,NA,NA,NA,9:00PM,9:00PM",SU,30803,Williamsburg,0.0889649989708,469.735194566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:00AM,9:00PM,10:00AM,9:00PM
"MULTILINESTRING ((-73.95680951669601 40.712756388368916, -73.95547596146298 40.71226542560145))",GERTIE,Brooklyn,Grand St,Marcy Ave,Roebling St,Open Streets: Restaurants,09/11/2020 12:00:00 AM,"NA,NA,NA,NA,NA,10:00AM,10:00AM","NA,NA,NA,NA,NA,9:00PM,9:00PM",SU,30947,Williamsburg,0.0777838485803,410.698720504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:00AM,9:00PM,10:00AM,9:00PM
"MULTILINESTRING ((-74.00837831248778 40.716587491099695, -74.00911537783587 40.716920606201306))","KioRestaurant, LLC (d.b.a. Khe-Yo)",Manhattan,Duane St,Hudson St,W Broadway,Open Streets: Restaurants,09/11/2020 12:00:00 AM,"12:00PM,12:00PM,12:00PM,12:00PM,12:00PM,12:00PM,12:00PM","11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM",ALL,31558,Tribeca,0.0450092611724,237.64889899,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM
